,code
1630,sh.603602
1631,sh.603603
1632,sh.603605
1633,sh.603606
1634,sh.603607
1635,sh.603608
1636,sh.603609
1637,sh.603610
1638,sh.603611
1639,sh.603612
1640,sh.603613
1641,sh.603615
1642,sh.603616
1643,sh.603617
1644,sh.603618
1645,sh.603619
1646,sh.603626
1647,sh.603628
1648,sh.603629
1649,sh.603630
1650,sh.603633
1651,sh.603636
1652,sh.603637
1653,sh.603638
1654,sh.603639
1655,sh.603648
1656,sh.603650
1657,sh.603655
1658,sh.603656
1659,sh.603657
1660,sh.603658
1661,sh.603659
1662,sh.603660
1663,sh.603661
